Datatype,Varname,Size,Comment
Float_t,MuInnerTrackDxy_PVBS,MAX_LEPTONS,
Int_t,MuInnerTrackNHits,MAX_LEPTONS,
Int_t,MuNTrackerHits,MAX_LEPTONS,
Int_t,MuNLostInnerHits,MAX_LEPTONS,
Float_t,vertexZ,MAX_LEPTONS,
Int_t,MuNPixelLayers,MAX_LEPTONS,
Int_t,MuNPixelLayersWMeasurement,MAX_LEPTONS,
Int_t,MuNTrackLayersWMeasurement,MAX_LEPTONS,

Int_t,ChargeGsf,MAX_LEPTONS,
Int_t,ChargeCtf,MAX_LEPTONS,
Int_t,ChargeScPix,MAX_LEPTONS,
Int_t,isEcalDriven,MAX_LEPTONS,
Int_t,isTrackerDriven,MAX_LEPTONS,
Float_t,caloEta,MAX_LEPTONS,
Float_t,e1x5,MAX_LEPTONS,
Float_t,e2x5Max,MAX_LEPTONS,
Float_t,e5x5,MAX_LEPTONS,
Float_t,HcalDepth1Iso,MAX_LEPTONS,
Float_t,HcalDepth2Iso,MAX_LEPTONS,
Float_t,EgammaMVANonTrig,MAX_LEPTONS,
Float_t,EgammaMVATrig,MAX_LEPTONS,
Bool_t,EgammaCutBasedEleIdTRIGGERTIGHT,MAX_LEPTONS,
Bool_t,EgammaCutBasedEleIdTRIGGERWP70,MAX_LEPTONS,
Bool_t,EgammaCutBasedEleIdVETO,MAX_LEPTONS,
Bool_t,EgammaCutBasedEleIdLOOSE,MAX_LEPTONS,
Bool_t,EgammaCutBasedEleIdMEDIUM,MAX_LEPTONS,
Bool_t,EgammaCutBasedEleIdTIGHT,MAX_LEPTONS,
Bool_t,EgammaCutBasedEleIdHEEP,MAX_LEPTONS,
Float_t,Eldr03HcalDepth1TowerSumEtBc,MAX_LEPTONS,
Float_t,Eldr03HcalDepth2TowerSumEtBc,MAX_LEPTONS,
Float_t,Eldr04HcalDepth1TowerSumEtBc,MAX_LEPTONS,
Float_t,Eldr04HcalDepth2TowerSumEtBc,MAX_LEPTONS,
Float_t,ElhcalOverEcalBc,MAX_LEPTONS,
Float_t,ElEcalE,MAX_LEPTONS,
Float_t,ElEoverP,MAX_LEPTONS,
Float_t,EldeltaEta,MAX_LEPTONS,
Float_t,EldeltaPhi,MAX_LEPTONS,
Float_t,ElHadoverEm,MAX_LEPTONS,
Float_t,ElsigmaIetaIeta,MAX_LEPTONS,
Float_t,ElscSigmaIetaIeta,MAX_LEPTONS,
Float_t,ElEnergyErr,MAX_LEPTONS,
Float_t,ElMomentumErr,MAX_LEPTONS,
Float_t,ElSharedHitsFraction,MAX_LEPTONS,
Float_t,dR_gsf_ctfTrack,MAX_LEPTONS,
Float_t,dPt_gsf_ctfTrack,MAX_LEPTONS,
Bool_t,ElhasConv,MAX_LEPTONS,
Int_t,ElTrackNHits,MAX_LEPTONS,
Float_t,ElTrackNLostHits,MAX_LEPTONS,
Float_t,ElTrackDz,MAX_LEPTONS,
Float_t,ElTrackDz_BS,MAX_LEPTONS,
Float_t,ElTrackD0,MAX_LEPTONS,
Float_t,ElTrackDxy_BS,MAX_LEPTONS,
Float_t,ElTrackDxy_PV,MAX_LEPTONS,
Float_t,ElTrackDxy_PVBS,MAX_LEPTONS,
Int_t,ElNClusters,MAX_LEPTONS,
Int_t,ElClassification,MAX_LEPTONS,
Float_t,ElFBrem,MAX_LEPTONS,
Int_t,NumberOfExpectedInnerHits,MAX_LEPTONS,
Float_t,Eldist,MAX_LEPTONS,
Float_t,Eldcot,MAX_LEPTONS,
Float_t,Elconvradius,MAX_LEPTONS,
Float_t,ElConvPoint_x,MAX_LEPTONS,
Float_t,ElConvPoint_y,MAX_LEPTONS,
Float_t,ElConvPoint_z,MAX_LEPTONS,
Float_t,dcotdist,MAX_LEPTONS,
Float_t,ElseedEoverP,MAX_LEPTONS,
Float_t,ElEcalIso04,MAX_LEPTONS,
Float_t,ElHcalIso04,MAX_LEPTONS,
Int_t,ElNumberOfBrems,MAX_LEPTONS,
Float_t,TrgPt,MAX_LEPTONS,
Float_t,TrgEta,MAX_LEPTONS,
Float_t,TrgPhi,MAX_LEPTONS,
Int_t,TrgID,MAX_LEPTONS,

Int_t,isPFTau,MAX_LEPTONS,

Float_t,GenPt,MAX_LEPTONS,
Float_t,GenEta,MAX_LEPTONS,
Float_t,GenPhi,MAX_LEPTONS,
Int_t,GenPdgID,MAX_LEPTONS,
Int_t,GenMCTag,MAX_LEPTONS,
